player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0033591,Noah Brown,N.Brown,WR,WR,WAS,2025,1,REG,0,0,0,0,0,0,0,3,2,27,0,,,1.6061324301117565,0.10344827586206896,0.12186379928315412,0.24047707329131135,0.2,2026,2025,True
00-0033676,Elijah Wilkinson,E.Wilkinson,OT,OL,ATL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033699,Austin Ekeler,A.Ekeler,RB,RB,WAS,2025,1,REG,0,0,0,0,6,26,0,3,3,31,0,,-0.24778196716215461,2.6382721768168267,0.10344827586206896,-0.025089605734767026,0.13760968977876653,0.2,2026,2025,True
00-0033702,Younghoe Koo,Y.Koo,K,SPEC,ATL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033783,Ahkello Witherspoon,A.Witherspoon,CB,DB,LA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033787,Jake Elliott,J.Elliott,K,SPEC,PHI,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033854,Dare Ogunbowale,D.Ogunbowale,RB,RB,HOU,2025,1,REG,0,0,0,0,2,9,0,2,2,17,0,,-1.0871769601944834,-4.106586049252655,0.07407407407407407,0.029069767441860465,0.13145994832041344,0.2,2026,2025,True
00-0033857,JuJu Smith-Schuster,J.Smith-Schuster,WR,WR,KC,2025,1,REG,0,0,0,0,0,0,0,5,5,55,0,,,4.612270607263781,0.13157894736842105,0.1070110701107011,0.27227617013012234,0.2,2026,2025,True
00-0033858,Jonnu Smith,J.Smith,TE,TE,PIT,2025,1,REG,0,0,0,0,0,0,0,6,5,15,1,,,1.007067406086021,0.20689655172413793,-0.04316546762589928,0.2801290002480774,0.2,2026,2025,True
00-0033860,Davon Godchaux,D.Godchaux,DT,DL,NO,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033868,Myles Garrett,M.Garrett,DE,DL,CLE,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033870,Solomon Thomas,S.Thomas,DE,DL,DAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033872,Jamal Adams,J.Adams,LB,LB,LV,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033873,Patrick Mahomes,P.Mahomes,QB,QB,KC,2025,1,REG,39,24,258,1,6,57,1,0,0,0,0,3.4485526789862906,7.211467055254616,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033874,Marshon Lattimore,M.Lattimore,CB,DB,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0033875,Haason Reddick,H.Reddick,OLB,LB,TB,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
